Item,Category,BasePrice,ImageURL,Sold,Ratings
Jos Buttler,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/182.png,false,92
Travis Head,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/37.png,false,91
Rishabh Pant,Wicketkeeper,2,https://assets.iplt20.com/ipl/IPLHeadshot2022/2972.png,false,89
Shreyas Iyer,Batsman,2,https://www.punjabkingsipl.in/static-assets/images/players/63961.png?v=6.16,false,90
Mohammad Shami,Bowler,2,https://www.gujarattitansipl.com/static-assets/images/players/28994.png?v=5.12,false,91
Virat Kohli,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/2.png,false,96
Hardik Pandaya,Allrounder,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/54.png,false,91
Sanju Samson,Wicketkeeper,2,https://assets.iplt20.com/ipl/IPLHeadshot2022/258.png,false,92
David Warner,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png,false,91
Shivam Dube,Allrounder,1.5,https://documents.iplt20.com/ipl/IPLHeadshot2024/211.png,false,87
Ishan Kishan,Wicketkeeper,2,https://www.yolo247.co/sports/tournaments/wp-content/uploads/2023/12/Ishan-Kishan-ipl.png,false,90
Abhishek Sharma,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/212.png,false,91
Andre Russel,Allrounder,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/141.png,false,93
Yashasvi Jaiswal,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/533.png,false,92
Rinku Singh,Batsman,1.5,https://documents.iplt20.com/ipl/IPLHeadshot2024/152.png,false,89
Marcus Stoinis,Allrounder,2,https://www.lucknowsupergiants.in/static-assets/images/players/4311.png?v=12.55,false,93
Evin Lewis,Batsman,2,https://assets.iplt20.com/ipl/IPLHeadshot2022/872.png,false,90
Surya Kumar Yadav,Batsman,2,https://documents.iplt20.com/ipl/IPLHeadshot2024/174.png,false,93
Glenn Maxwell,Allrounder,2,https://assets.iplt20.com/ipl/IPLHeadshot2022/282.png,false,93
Rajat Patidar,Batsman,1.5,https://documents.iplt20.com/ipl/IPLHeadshot2024/597.png,false,92